quote_time         ,stock_code,close_price,total_asset,cash_begin,total_stock_value,cash_avaliable,sh600271                         ,sz002310                         ,sh600867                         ,sz300146
2017-08-22 11:00:00,sh600867  ,18.84      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 11:00:00,sz300146  ,14.33      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 11:00:00,sh600271  ,19.47      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 11:30:00,sz002310  ,18.63      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 11:30:00,sh600867  ,18.78      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 11:30:00,sz300146  ,14.42      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 11:30:00,sh600271  ,19.43      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 13:30:00,sz002310  ,18.56      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 13:30:00,sh600867  ,18.66      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 13:30:00,sz300146  ,14.4       ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 13:30:00,sh600271  ,19.44      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
2017-08-22 14:00:00,sz002310  ,18.45      ,100000     ,100000    ,0                ,100000        ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"                    ,"[0, 0, 0.0]"
